tsdec100;31;6.6
tsdpc100;28;4.9
tsdsc100;31;48.5
tsdde100;15;54.5
tsdph100;7;65.0
tsdcc100;6;78.7
tsdcc120;19;96.2
tsdtr100;32;41.8
tsdnr100;100;0
tsdgp100;30;7.2
